site_datatype_id,site_id,datatype_id,site_metadata.site_id,site_metadata.site_name,site_metadata.site_common_name,site_metadata.description,site_metadata.elevation,site_metadata.lat,site_metadata.longi,site_metadata.db_site_code,site_metadata.objecttype_id,site_metadata.objecttype_name,site_metadata.basin_id,site_metadata.hydrologic_unit,site_metadata.river_mile,site_metadata.segment_no,site_metadata.state_id,site_metadata.state_code,site_metadata.usgs_id,site_metadata.nws_code,site_metadata.shef_code,site_metadata.scs_id,site_metadata.parent_objecttype_id,site_metadata.parent_site_id,datatype_metadata.datatype_id,datatype_metadata.datatype_name,datatype_metadata.datatype_common_name,datatype_metadata.physical_quantity_name,datatype_metadata.unit_id,datatype_metadata.unit_name,datatype_metadata.unit_common_name,datatype_metadata.allowable_intervals,datatype_metadata.agen_id,datatype_metadata.cmmnt,last_meas_date,last_meas_val
100468,100053,17,100053,WILLIAMS FORK RESERVOIR,WLFRESCO,,,40.034985,-106.205299,ECO,7,,0,140100010407.0,0.0,0,0,,,,,,0,0,17,"storage, end of period reading used as value for per",storage,storage,1,acre-feet,acre-feet,either,0,,,
100470,100118,17,100118,WILLOW CREEK RESERVOIR,WILRESCO,,8130.0,40.146932,-105.94251299999999,ECO,7,,0,140100010104.0,0.0,0,0,,,,,,0,0,17,"storage, end of period reading used as value for per",storage,storage,1,acre-feet,acre-feet,either,0,,,
100488,100002,49,100002,Dillon Reservoir,DILRESCO,,,39.6092,-106.0611,ECO,7,,0,140100020401.0,0.0,0,6,,,,,,0,0,49,"reservoir ws elevation, end of per reading used as value for per",pool elevation,water surface elevation,4,feet,feet,either,0,,,
100497,100156,49,100156,Grand Lake,GLARESCO,,,40.2416,-105.8014,ECO,7,,0,140100010308.0,0.0,0,0,,,,,,0,0,49,"reservoir ws elevation, end of per reading used as value for per",pool elevation,water surface elevation,4,feet,feet,either,0,,,
100514,100002,17,100002,Dillon Reservoir,DILRESCO,,,39.6092,-106.0611,ECO,7,,0,140100020401.0,0.0,0,6,,,,,,0,0,17,"storage, end of period reading used as value for per",storage,storage,1,acre-feet,acre-feet,either,0,,,
100531,100089,49,100089,GREEN MOUNTAIN RESERVOIR,GRERESCO,,7960.0,39.878316999999996,-106.329748,ECO,7,,0,140100020504.0,0.0,0,6,,,,,,0,0,49,"reservoir ws elevation, end of per reading used as value for per",pool elevation,water surface elevation,4,feet,feet,either,0,,,
100596,100156,17,100156,Grand Lake,GLARESCO,,,40.2416,-105.8014,ECO,7,,0,140100010308.0,0.0,0,0,,,,,,0,0,17,"storage, end of period reading used as value for per",storage,storage,1,acre-feet,acre-feet,either,0,,,
100604,100010,49,100010,GRANBY RESERVOIR,GRARESCO,,,40.181925,-105.871121,ECO,7,,0,140100010308.0,0.0,0,0,,,,,,0,0,49,"reservoir ws elevation, end of per reading used as value for per",pool elevation,water surface elevation,4,feet,feet,either,0,,,
100612,100003,49,100003,Marys Lake,MARYLACO,"2016-01-11 Reconfigured with redundant PE sensor and alarming capability
",,40.34,-105.53,ECO,7,,0,101900060206.0,0.0,0,0,,,,,,0,0,49,"reservoir ws elevation, end of per reading used as value for per",pool elevation,water surface elevation,4,feet,feet,either,0,,,
100613,100038,49,100038,Olympus Dam at Estes Park,OLYDAMCO,,,40.38,-105.49,ECO,7,,0,101900060207.0,0.0,0,6,,,,,,0,0,49,"reservoir ws elevation, end of per reading used as value for per",pool elevation,water surface elevation,4,feet,feet,either,0,,,
100630,100065,49,100065,Carter Lake,CARTERCO,,,40.32,-105.21,ECO,7,,0,101900060501.0,0.0,0,6,,,,,,0,0,49,"reservoir ws elevation, end of per reading used as value for per",pool elevation,water surface elevation,4,feet,feet,either,0,,,
100631,100081,49,100081,Flatiron Reservoir nr Loveland,FLARESCO,,5486.0,40.3651,-105.236,ECO,7,,0,101900060602.0,0.0,0,6,,,,,,0,0,49,"reservoir ws elevation, end of per reading used as value for per",pool elevation,water surface elevation,4,feet,feet,either,0,,,
100632,100113,49,100113,Pinewood Reservoir,PINRESCO,,,40.37,-105.29,ECO,7,,0,101900060602.0,0.0,0,0,,,,,,0,0,49,"reservoir ws elevation, end of per reading used as value for per",pool elevation,water surface elevation,4,feet,feet,either,0,,,
100633,100091,49,100091,Horsetooth Reservoir,HORTOOCO,,,40.6,-105.17,ECO,7,,0,101900070805.0,0.0,0,0,,,,,,0,0,49,"reservoir ws elevation, end of per reading used as value for per",pool elevation,water surface elevation,4,feet,feet,either,0,,,
100634,100049,49,100049,SHADOW MOUNTAIN RESERVOIR,SHARESCO,,8365.0,40.20720900000001,-105.84141000000001,ECO,7,,0,140100010308.0,0.0,0,0,,,,,,0,0,49,"reservoir ws elevation, end of per reading used as value for per",pool elevation,water surface elevation,4,feet,feet,either,0,,,
100635,100118,49,100118,WILLOW CREEK RESERVOIR,WILRESCO,,8130.0,40.146932,-105.94251299999999,ECO,7,,0,140100010104.0,0.0,0,0,,,,,,0,0,49,"reservoir ws elevation, end of per reading used as value for per",pool elevation,water surface elevation,4,feet,feet,either,0,,,
100636,100053,49,100053,WILLIAMS FORK RESERVOIR,WLFRESCO,,,40.034985,-106.205299,ECO,7,,0,140100010407.0,0.0,0,0,,,,,,0,0,49,"reservoir ws elevation, end of per reading used as value for per",pool elevation,water surface elevation,4,feet,feet,either,0,,,
100637,100032,49,100032,Ruedi Reservoir nr Basalt,RUERESCO,Ruedi Reservoir pool elevation and Rocky Fork Creek gage height (GH and GH2).,,39.36,-106.82,ECO,7,,0,140100040506.0,0.0,0,0,,,,,,0,0,49,"reservoir ws elevation, end of per reading used as value for per",pool elevation,water surface elevation,4,feet,feet,either,0,,,
100638,100031,49,100031,PUEBLO RESERVOIR NEAR PUEBLO,PUERESCO,,4850.0,38.27083,-104.725542,ECO,7,,0,110200020805.0,0.0,0,0,,,,,,0,0,49,"reservoir ws elevation, end of per reading used as value for per",pool elevation,water surface elevation,4,feet,feet,either,0,,,
100639,100163,49,100163,TURQUOISE LAKE AT SUGARLOAF DAM NEAR LEADVILLE CO,TURQLACO,FryArk Accounting,9747.0,39.2529,-106.3743,ECO,7,,0,110200010206.0,0.0,0,0,,,,,,0,0,49,"reservoir ws elevation, end of per reading used as value for per",pool elevation,water surface elevation,4,feet,feet,either,0,,,
101012,100163,17,100163,TURQUOISE LAKE AT SUGARLOAF DAM NEAR LEADVILLE CO,TURQLACO,FryArk Accounting,9747.0,39.2529,-106.3743,ECO,7,,0,110200010206.0,0.0,0,0,,,,,,0,0,17,"storage, end of period reading used as value for per",storage,storage,1,acre-feet,acre-feet,either,0,,,
101013,100257,17,100257,"MOUNT ELBERT FOREBAY, CO",MTELFBCO,,9650.0,39.0608,-106.2112,ECO,7,,0,110200010404.0,0.0,0,6,,,,,,0,0,17,"storage, end of period reading used as value for per",storage,storage,1,acre-feet,acre-feet,either,0,,,
101014,100275,17,100275,"TWIN LAKES RESERVOIR, CO",TWIRESCO,"Twin Lakes Reservoir, meteorological data, and Otero Pipeline flow.",,39.0767,-106.3029,ECO,7,,0,110200010103.0,0.0,0,0,,,,,,0,0,17,"storage, end of period reading used as value for per",storage,storage,1,acre-feet,acre-feet,either,0,,,
101075,100275,49,100275,"TWIN LAKES RESERVOIR, CO",TWIRESCO,"Twin Lakes Reservoir, meteorological data, and Otero Pipeline flow.",,39.0767,-106.3029,ECO,7,,0,110200010103.0,0.0,0,0,,,,,,0,0,49,"reservoir ws elevation, end of per reading used as value for per",pool elevation,water surface elevation,4,feet,feet,either,0,,,
101076,100257,49,100257,"MOUNT ELBERT FOREBAY, CO",MTELFBCO,,9650.0,39.0608,-106.2112,ECO,7,,0,110200010404.0,0.0,0,6,,,,,,0,0,49,"reservoir ws elevation, end of per reading used as value for per",pool elevation,water surface elevation,4,feet,feet,either,0,,,
1710,916,15,916,FONTENELLE RESERVOIR,FONTENELLE,,6418.0,42.02617,-110.06816,UC,7,,1,140401030602.0,0.0,0,50,,,GBRW4,,,0,0,15,"reservoir bank storage, end of period reading",bank storage,bank storage,1,acre-feet,acre-feet,either,0,,,
1711,917,15,917,FLAMING GORGE RESERVOIR,FLAMING GORGE,,5667.0,40.91474,-109.42185,UC,7,,1,140401060805.0,0.0,0,44,,,GRNU1,,,0,0,15,"reservoir bank storage, end of period reading",bank storage,bank storage,1,acre-feet,acre-feet,either,0,,,
1712,919,15,919,LAKE POWELL,LAKE POWELL,,3271.0,36.93649,-111.48396,UC,7,,2029,140700061105.0,0.0,0,3,,,GLDA3,,,0,0,15,"reservoir bank storage, end of period reading",bank storage,bank storage,1,acre-feet,acre-feet,either,0,,,
1713,912,17,912,TAYLOR PARK RESERVOIR,TAYLOR PARK,,9321.0,38.81844,-106.60592,UC,7,,11,140200010113.0,0.0,0,6,,,TPIC2,,,0,0,17,"storage, end of period reading",storage,storage,1,acre-feet,acre-feet,either,0,,,
1714,913,17,913,BLUE MESA RESERVOIR,BLUE MESA,,7304.0,38.45305,-107.33677,UC,7,,11,140200021003.0,0.0,0,6,,,BMDC2,,,0,0,17,"storage, end of period reading",storage,storage,1,acre-feet,acre-feet,either,0,,,
1715,914,17,914,MORROW POINT RESERVOIR,MORROW POINT,,7052.0,38.45191,-107.53791,UC,7,,11,140200021005.0,0.0,0,6,,,MPSC2,,,0,0,17,"storage, end of period reading",storage,storage,1,acre-feet,acre-feet,either,0,,,
1716,915,17,915,CRYSTAL RESERVOIR,CRYSTAL,,6758.0,38.51046,-107.62373999999998,UC,7,,11,140200021101.0,0.0,0,6,,,CLSC2,,,0,0,17,"storage, end of period reading",storage,storage,1,acre-feet,acre-feet,either,0,,,
1717,916,17,916,FONTENELLE RESERVOIR,FONTENELLE,,6418.0,42.02617,-110.06816,UC,7,,1,140401030602.0,0.0,0,50,,,GBRW4,,,0,0,17,"storage, end of period reading",storage,storage,1,acre-feet,acre-feet,either,0,,,
1718,917,17,917,FLAMING GORGE RESERVOIR,FLAMING GORGE,,5667.0,40.91474,-109.42185,UC,7,,1,140401060805.0,0.0,0,44,,,GRNU1,,,0,0,17,"storage, end of period reading",storage,storage,1,acre-feet,acre-feet,either,0,,,
1719,919,17,919,LAKE POWELL,LAKE POWELL,,3271.0,36.93649,-111.48396,UC,7,,2029,140700061105.0,0.0,0,3,,,GLDA3,,,0,0,17,"storage, end of period reading",storage,storage,1,acre-feet,acre-feet,either,0,,,
1720,920,17,920,NAVAJO RESERVOIR,NAVAJO,,6099.0,36.80063,-107.61203,UC,7,,16,140801011605.0,0.0,0,31,,,NVRN5,,,0,0,17,"storage, end of period reading",storage,storage,1,acre-feet,acre-feet,either,0,,,
1722,924,17,924,VEGA RESERVOIR,VEGA,,7986.0,39.22163,-107.79988,UC,7,,11,140100051202.0,0.0,0,6,,,VEGC2,,,0,0,17,"storage, end of period reading",storage,storage,1,acre-feet,acre-feet,either,0,,,
1723,925,17,925,WILLARD BAY RESERVOIR,WILLARD BAY,,4203.0,41.37738,-112.08339,UC,7,,4,160201020702.0,0.0,0,44,,,,,,0,0,17,"storage, end of period reading",storage,storage,1,acre-feet,acre-feet,either,0,,,
1725,927,17,927,STEINAKER RESERVOIR,STEINAKER,,5513.0,40.51456,-109.53275,UC,7,,1,140600100901.0,0.0,0,44,,,,,,0,0,17,"storage, end of period reading",storage,storage,1,acre-feet,acre-feet,either,0,,,
1726,928,17,928,STARVATION RESERVOIR,STARVATION,,5723.0,40.19324,-110.44722,UC,7,,6,140600040806.0,0.0,0,44,,,,,,0,0,17,"storage, end of period reading",storage,storage,1,acre-feet,acre-feet,either,0,,,
1728,930,17,930,MOON LAKE RESERVOIR,MOON LAKE,,8081.0,40.57445,-110.50665,UC,7,,6,140600030604.0,0.0,0,44,,,,,,0,0,17,"storage, end of period reading",storage,storage,1,acre-feet,acre-feet,either,0,,,
1729,931,17,931,SCOFIELD RESERVOIR,SCOFIELD,,7708.0,39.77656,-111.05074,UC,7,,7,140600070206.0,0.0,0,44,,,,,,0,0,17,"storage, end of period reading",storage,storage,1,acre-feet,acre-feet,either,0,,,
1730,932,17,932,JOES VALLEY RESERVOIR,JOES VALLEY,,6978.0,39.2901,-111.27888,UC,7,,7,140600090203.0,0.0,0,44,,,,,,0,0,17,"storage, end of period reading",storage,storage,1,acre-feet,acre-feet,either,0,,,
1731,933,17,933,VALLECITO RESERVOIR,VALLECITO,,7613.0,37.37834,-107.57486000000002,UC,7,,16,140801011401.0,0.0,0,6,,,VCRC2,,,0,0,17,"storage, end of period reading",storage,storage,1,acre-feet,acre-feet,either,0,,,
1732,934,17,934,LEMON RESERVOIR,LEMON,,8150.0,37.39538,-107.66269,UC,7,,16,140801040703.0,0.0,0,6,,,,,,0,0,17,"storage, end of period reading",storage,storage,1,acre-feet,acre-feet,either,0,,,
1733,935,17,935,JACKSON GULCH RESERVOIR,JACKSON GULCH,,7844.0,37.40186,-108.27342,UC,7,,16,140801070103.0,0.0,0,6,,,,,,0,0,17,"storage, end of period reading",storage,storage,1,acre-feet,acre-feet,either,0,,,
1734,936,17,936,BIG SANDY RESERVOIR,BIG SANDY,,6718.0,42.24993,-109.42803,UC,7,,1,140401040601.0,0.0,0,50,,,,,,0,0,17,"storage, end of period reading",storage,storage,1,acre-feet,acre-feet,either,0,,,
1735,937,17,937,BRANTLEY LAKE,BRANTLEY,,3249.0,32.5442,-104.3814,UC,7,,19,130600111003.0,0.0,0,31,,,,,,0,0,17,"storage, end of period reading",storage,storage,1,acre-feet,acre-feet,either,0,,,
1736,938,17,938,CAUSEY RESERVOIR,CAUSEY,,5718.0,41.29828,-111.58591,UC,7,,4,160201020205.0,0.0,0,44,,,,,,0,0,17,"storage, end of period reading",storage,storage,1,acre-feet,acre-feet,either,0,,,
1737,939,17,939,SILVER JACK RESERVOIR,SILVER JACK,,8934.0,38.22692,-107.54041,UC,7,,11,140200020901.0,0.0,0,6,,,SJAC2,,,0,0,17,"storage, end of period reading",storage,storage,1,acre-feet,acre-feet,either,0,,,
1738,940,17,940,EAST CANYON RESERVOIR,EAST CANYON,,5667.0,40.92027,-111.60099,UC,7,,4,160201020106.0,0.0,0,44,,,,,,0,0,17,"storage, end of period reading",storage,storage,1,acre-feet,acre-feet,either,0,,,
1739,941,17,941,ECHO RESERVOIR,ECHO,,5569.0,40.96412,-111.43238999999998,UC,7,,4,160201010702.0,0.0,0,44,,,,,,0,0,17,"storage, end of period reading",storage,storage,1,acre-feet,acre-feet,either,0,,,
1740,942,17,942,LOST CREEK RESERVOIR,LOST CREEK,,5917.0,41.18318,-111.39905,UC,7,,4,160201010606.0,0.0,0,44,,,,,,0,0,17,"storage, end of period reading",storage,storage,1,acre-feet,acre-feet,either,0,,,
1741,943,17,943,LAKE SUMNER,SUMNER,,4272.0,34.628840000000004,-104.3924,UC,7,,19,130600011309.0,0.0,0,31,,,,,,0,0,17,"storage, end of period reading",storage,storage,1,acre-feet,acre-feet,either,0,,,
1742,944,17,944,MEEKS CABIN RESERVOIR,MEEKS CABIN,,8694.0,41.01664,-110.58344,UC,7,,1,140401070303.0,0.0,0,50,,,,,,0,0,17,"storage, end of period reading",storage,storage,1,acre-feet,acre-feet,either,0,,,
1743,945,17,945,PAONIA RESERVOIR,PAONIA,,6450.0,38.94919,-107.34347,UC,7,,11,140200040401.0,0.0,0,6,,,PRSC2,,,0,0,17,"storage, end of period reading",storage,storage,1,acre-feet,acre-feet,either,0,,,
1744,946,17,946,PINEVIEW RESERVOIR,PINEVIEW,,4916.0,41.25419,-111.84254,UC,7,,4,160201020306.0,0.0,0,44,,,,,,0,0,17,"storage, end of period reading",storage,storage,1,acre-feet,acre-feet,either,0,,,
1745,947,17,947,ROCKPORT RESERVOIR,ROCKPORT RESERVOIR,,6038.0,40.78944,-111.40263,UC,7,,4,160201010404.0,0.0,0,44,,,,,,0,0,17,"storage, end of period reading",storage,storage,1,acre-feet,acre-feet,either,0,,,
1746,948,17,948,RIDGWAY RESERVOIR,RIDGWAY,,6861.0,38.23636,-107.75914,UC,7,,11,140200060209.0,0.0,0,6,,,RBSC2,,,0,0,17,"storage, end of period reading",storage,storage,1,acre-feet,acre-feet,either,0,,,
1747,949,17,949,STATELINE RESERVOIR,STATELINE,,9196.0,40.98291,-110.39038,UC,7,,1,140401070202.0,0.0,0,44,,,,,,0,0,17,"storage, end of period reading",storage,storage,1,acre-feet,acre-feet,either,0,,,
1749,951,17,951,CRAWFORD RESERVOIR,CRAWFORD,,6565.0,38.68294,-107.60285,UC,7,,11,140200021204.0,0.0,0,6,,,CRFC2,,,0,0,17,"storage, end of period reading",storage,storage,1,acre-feet,acre-feet,either,0,,,
1750,952,17,952,CURRANT CREEK RESERVOIR,CURRANT CREEK,,7696.0,40.33841,-111.05821,UC,7,,6,140600040401.0,0.0,0,44,,,CRUU1,,,0,0,17,"storage, end of period reading",storage,storage,1,acre-feet,acre-feet,either,0,,,
1751,953,17,953,DEER CREEK RESERVOIR,DEER CREEK,,5420.0,40.40837,-111.52908,UC,7,,5,160202030405.0,0.0,0,44,,,,,,0,0,17,"storage, end of period reading",storage,storage,1,acre-feet,acre-feet,either,0,,,
1752,954,17,954,EDEN RESERVOIR,EDEN,,6703.0,42.21665,-109.37087,UC,7,,1,140401040601.0,0.0,0,50,,,,,,0,0,17,"storage, end of period reading",storage,storage,1,acre-feet,acre-feet,either,0,,,
1753,955,17,955,FRUITGROWERS RESERVOIR,FRUITGROWERS,,5475.0,38.82871,-107.94513,UC,7,,11,140200050105.0,0.0,0,6,,,FTGC2,,,0,0,17,"storage, end of period reading",storage,storage,1,acre-feet,acre-feet,either,0,,,
1754,956,17,956,HUNTINGTON NORTH RESERVOIR,HUNTINGTON NORTH,,6481.0,39.38458,-111.09082,UC,7,,7,140600090105.0,0.0,0,44,,,,,,0,0,17,"storage, end of period reading",storage,storage,1,acre-feet,acre-feet,either,0,,,
1755,957,17,957,HYRUM RESERVOIR,HYRUM,,4672.0,41.62117,-111.86099,UC,7,,2,160102030105.0,0.0,0,44,,,,,,0,0,17,"storage, end of period reading",storage,storage,1,acre-feet,acre-feet,either,0,,,
1756,958,17,958,MCPHEE RESERVOIR,MCPHEE,,6760.0,37.57588,-108.57307,UC,7,,10,140300020601.0,0.0,0,6,,,,,,0,0,17,"storage, end of period reading",storage,storage,1,acre-feet,acre-feet,either,0,,,
1757,959,17,959,NEWTON RESERVOIR,NEWTON,,4760.0,41.8998,-111.97562,UC,7,,2,160102020705.0,0.0,0,44,,,,,,0,0,17,"storage, end of period reading",storage,storage,1,acre-feet,acre-feet,either,0,,,
1758,960,17,960,RED FLEET RESERVOIR,RED FLEET,,5604.0,40.57543,-109.42052,UC,7,,1,140600100205.0,0.0,0,44,,,,,,0,0,17,"storage, end of period reading",storage,storage,1,acre-feet,acre-feet,either,0,,,
1759,961,17,961,RIFLE GAP RESERVOIR,RIFLE GAP,,5943.0,39.6303,-107.7582,UC,7,,20,140100050505.0,0.0,0,6,,,RRGC2,,,0,0,17,"storage, end of period reading",storage,storage,1,acre-feet,acre-feet,either,0,,,
1760,962,17,962,STRAWBERRY RESERVOIR (EXPANDED),STRAWBERRY RESERVOIR (EXPANDED),Represents the single reservoir that existed after the expansion,7448.0,40.13564,-111.02658999999998,UC,7,,6,140600040106.0,0.0,0,44,,,STIU1,,,7,962,17,"storage, end of period reading",storage,storage,1,acre-feet,acre-feet,either,0,,,
1761,963,17,963,UPPER STILLWATER RESERVOIR,UPPER STILLWATER,,8169.0,40.56565,-110.70044,UC,7,,6,140600030305.0,0.0,0,44,,,,,,0,0,17,"storage, end of period reading",storage,storage,1,acre-feet,acre-feet,either,0,,,
1762,964,17,964,JORDANELLE RESERVOIR,JORDANELLE,,6187.0,40.59833,-111.42304,UC,7,,5,160202030304.0,0.0,0,44,,,,,,0,0,17,"storage, end of period reading",storage,storage,1,acre-feet,acre-feet,either,0,,,
1770,913,25,913,BLUE MESA RESERVOIR,BLUE MESA,,7304.0,38.45305,-107.33677,UC,7,,11,140200021003.0,0.0,0,6,,,BMDC2,,,0,0,25,volume of evaporation,evaporation,evaporation,1,acre-feet,acre-feet,non-instant,0,,,
1771,914,25,914,MORROW POINT RESERVOIR,MORROW POINT,,7052.0,38.45191,-107.53791,UC,7,,11,140200021005.0,0.0,0,6,,,MPSC2,,,0,0,25,volume of evaporation,evaporation,evaporation,1,acre-feet,acre-feet,non-instant,0,,,
1772,916,25,916,FONTENELLE RESERVOIR,FONTENELLE,,6418.0,42.02617,-110.06816,UC,7,,1,140401030602.0,0.0,0,50,,,GBRW4,,,0,0,25,volume of evaporation,evaporation,evaporation,1,acre-feet,acre-feet,non-instant,0,,,
1773,917,25,917,FLAMING GORGE RESERVOIR,FLAMING GORGE,,5667.0,40.91474,-109.42185,UC,7,,1,140401060805.0,0.0,0,44,,,GRNU1,,,0,0,25,volume of evaporation,evaporation,evaporation,1,acre-feet,acre-feet,non-instant,0,,,
1774,919,25,919,LAKE POWELL,LAKE POWELL,,3271.0,36.93649,-111.48396,UC,7,,2029,140700061105.0,0.0,0,3,,,GLDA3,,,0,0,25,volume of evaporation,evaporation,evaporation,1,acre-feet,acre-feet,non-instant,0,,,
1775,920,25,920,NAVAJO RESERVOIR,NAVAJO,,6099.0,36.80063,-107.61203,UC,7,,16,140801011605.0,0.0,0,31,,,NVRN5,,,0,0,25,volume of evaporation,evaporation,evaporation,1,acre-feet,acre-feet,non-instant,0,,,
1779,933,25,933,VALLECITO RESERVOIR,VALLECITO,,7613.0,37.37834,-107.57486000000002,UC,7,,16,140801011401.0,0.0,0,6,,,VCRC2,,,0,0,25,volume of evaporation,evaporation,evaporation,1,acre-feet,acre-feet,non-instant,0,,,
1780,934,25,934,LEMON RESERVOIR,LEMON,,8150.0,37.39538,-107.66269,UC,7,,16,140801040703.0,0.0,0,6,,,,,,0,0,25,volume of evaporation,evaporation,evaporation,1,acre-feet,acre-feet,non-instant,0,,,
1781,935,25,935,JACKSON GULCH RESERVOIR,JACKSON GULCH,,7844.0,37.40186,-108.27342,UC,7,,16,140801070103.0,0.0,0,6,,,,,,0,0,25,volume of evaporation,evaporation,evaporation,1,acre-feet,acre-feet,non-instant,0,,,
1782,940,25,940,EAST CANYON RESERVOIR,EAST CANYON,,5667.0,40.92027,-111.60099,UC,7,,4,160201020106.0,0.0,0,44,,,,,,0,0,25,volume of evaporation,evaporation,evaporation,1,acre-feet,acre-feet,non-instant,0,,,
1783,941,25,941,ECHO RESERVOIR,ECHO,,5569.0,40.96412,-111.43238999999998,UC,7,,4,160201010702.0,0.0,0,44,,,,,,0,0,25,volume of evaporation,evaporation,evaporation,1,acre-feet,acre-feet,non-instant,0,,,
